,Unnamed: 0,method,batch,time,test_accuracy,cum_remove_accuracy,batch_remove_accuracy
0,0,retrain,1000,200.85422180499882,0.7439847165329937,0.61,0.61
1,1,retrain,2000,201.81192155927417,0.7453099721179994,0.5875,0.565
2,2,retrain,3000,199.78167250100526,0.7424529276100651,0.5523333333333333,0.49700000000000005
3,3,retrain,4000,199.88435379322615,0.7415579498123989,0.53475,0.504
4,4,retrain,5000,196.52638179576024,0.7411620942480466,0.5254,0.505
5,5,retrain,6000,191.87513365643102,0.7406973942377199,0.5233333333333333,0.575
6,6,retrain,7000,191.69130406668413,0.7421431276031806,0.5481428571428572,0.626
7,7,retrain,8000,192.20844663586468,0.7398540497745344,0.54025,0.6409999999999999
8,8,retrain,9000,191.18913169717416,0.7383566830745929,0.5504444444444444,0.657
9,9,retrain,10000,191.2250994681381,0.7383566830745929,0.5536,0.63
10,10,retrain,11000,189.67318045999852,0.7397679942170665,0.5682727272727273,0.619
11,11,retrain,12000,191.636077915784,0.7363601941413377,0.5533333333333333,0.603
12,12,retrain,13000,191.1688345321454,0.7378919830642663,0.5545384615384615,0.5710000000000001
13,13,retrain,14000,190.89566252427173,0.7356545385701009,0.5505714285714286,0.589
14,14,retrain,15000,190.808918917086,0.7377887163953049,0.5598,0.635
15,15,retrain,16000,191.4887331449427,0.731059171801315,0.5406875,0.597
16,16,retrain,17000,191.60126141598445,0.7317131940380709,0.5408823529411765,0.633
17,17,retrain,18000,187.4258065535687,0.7304912051220268,0.5353888888888889,0.607
18,18,retrain,19000,188.5721217058599,0.7350005163333448,0.5514736842105263,0.604
19,19,retrain,20000,190.07262591598555,0.7316787718150838,0.542,0.619
20,20,retrain,21000,189.40646142233163,0.7292347939829954,0.5313333333333333,0.573
21,21,retrain,22000,196.903667808976,0.7307493717944304,0.5376363636363637,0.573
22,22,retrain,23000,185.50396674312648,0.7296478606588414,0.5378260869565218,0.603
23,23,retrain,24000,183.4121695887297,0.7305084162335204,0.5429999999999999,0.622
24,24,retrain,25000,186.59215482510623,0.7278406939520154,0.5304,0.568
25,25,retrain,26000,186.31988263828683,0.7286496161922137,0.5355384615384615,0.5820000000000001
26,26,retrain,26145,185.6087761167437,0.7274276272761695,0.5264868999808758,0.5793103448275863
